year,title,vote_average,vote_count,budget,revenue,runtime,genres_description
2018,Spider-Man: Into the Spider-Verse,8.4,14433,90000000,375464627,117,"Science Fiction, Adventure, Animation, Action"
2010,Inception,8.4,34992,160000000,825532764,148,"Adventure, Action, Science Fiction"
2023,TAYLOR SWIFT | THE ERAS TOUR,8.4,216,0,24960000,169,Music
2018,Avengers: Infinity War,8.3,28196,300000000,2052415039,149,"Action, Science Fiction, Adventure"
1957,Paths of Glory,8.3,2668,935000,0,88,"History, War, Drama"
1985,Back to the Future,8.3,18797,19000000,381109762,116,"Science Fiction, Comedy, Adventure"
1946,It's a Wonderful Life,8.3,3975,3180000,9644124,130,"Family, Drama, Fantasy"
2019,Avengers: Endgame,8.3,24254,356000000,2800000000,181,"Science Fiction, Adventure, Action"
2019,Klaus,8.3,3721,0,0,96,"Adventure, Comedy, Fantasy, Animation, Family"
2020,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,8.3,3528,15800000,503100000,117,"Animation, Action, Thriller, Fantasy, Adventure"
1994,The Lion King,8.3,17292,45000000,763455561,89,"Animation, Family, Drama"
2023,Society of the Snow,8.3,15,0,0,144,"Drama, History"
2011,The Intouchables,8.3,16384,13000000,426600000,113,"Drama, Comedy"
2022,Puss in Boots: The Last Wish,8.3,6803,90000000,484700000,103,"Adventure, Animation, Fantasy, Comedy, Family, Action"
2021,Jujutsu Kaisen 0,8.2,1174,0,195870885,105,"Animation, Fantasy, Action"
2017,Coco,8.2,18348,175000000,800500000,105,"Animation, Adventure, Music, Comedy, Family, Fantasy"
1977,Star Wars,8.2,19481,11000000,775398007,121,"Science Fiction, Action, Adventure"
1999,The Matrix,8.2,24275,63000000,463517383,136,"Action, Science Fiction"
2022,Top Gun: Maverick,8.2,7998,170000000,1488732821,131,"Drama, Action"
1998,Saving Private Ryan,8.2,14924,70000000,481840909,169,"Drama, War, History"
2019,Joker,8.2,23868,55000000,1074500000,122,"Thriller, Crime, Drama"
2022,Guillermo del Toro's Pinocchio,8.2,2603,35000000,0,117,"Family, Drama, Fantasy, Animation"
2021,Zack Snyder's Justice League,8.2,9440,70000000,0,242,"Fantasy, Adventure, Action"
2012,Django Unchained,8.2,25054,100000000,425368238,165,"Western, Drama"
2000,Gladiator,8.2,17330,103000000,465361176,155,"Drama, Adventure, Action"
2023,Black Clover: Sword of the Wizard King,8.2,225,0,0,113,"Adventure, Fantasy, Animation, Action"
2023,Flamin' Hot,8.2,449,0,0,99,"Comedy, Drama"
2021,Palmer,8.2,1369,0,0,110,Drama
2010,Shutter Island,8.2,22719,80000000,294800000,138,"Thriller, Mystery, Drama"
1997,Good Will Hunting,8.2,11405,10000000,225900000,127,Drama
2023,The Iron Claw,8.2,23,15900000,18200000,133,Drama
1983,Scarface,8.2,11013,25000000,66023329,170,"Action, Drama, Crime"
2016,The Handmaiden,8.2,3392,8575000,38600000,145,"Romance, Thriller, Drama"
2009,Inglourious Basterds,8.2,21128,70000000,321457747,153,"War, Drama, Thriller"
